adm0_en,len_crs,area_crs,len_km,area_km2
Philippines (the),572,18758,0,0.0
Philippines (the),419,9471,0,0.0
Philippines (the),325,5889,0,0.0
Philippines (the),320,7085,0,0.0
Philippines (the),905,27720,0,0.0
Philippines (the),2708,276182,2,0.0
Philippines (the),622,24400,0,0.0
Philippines (the),479,17285,0,0.0
Philippines (the),219,2282,0,0.0
Philippines (the),242,1279,0,0.0
Philippines (the),417,11983,0,0.0
Philippines (the),549,19304,0,0.0
Philippines (the),411,10163,0,0.0
Philippines (the),932,45940,0,0.0
Philippines (the),457,13603,0,0.0
Philippines (the),314,6208,0,0.0
Philippines (the),533,15154,0,0.0
Philippines (the),359,8008,0,0.0
Philippines (the),2769,418760,2,0.0
Philippines (the),15106,4779743,15,4.0
Philippines (the),6311,696106,6,0.0
Philippines (the),30316,32087272,30,32.0
Philippines (the),7674,1568498,7,1.0
Philippines (the),145,941,0,0.0
Philippines (the),1534,20069,1,0.0
Philippines (the),1865,35849,1,0.0
Philippines (the),271,2628,0,0.0
Philippines (the),149,1298,0,0.0
Philippines (the),351,4082,0,0.0
Philippines (the),726,6714,0,0.0
Philippines (the),348,3883,0,0.0
Philippines (the),251,3063,0,0.0
Philippines (the),124,585,0,0.0
Philippines (the),1035,25732,1,0.0
Philippines (the),127,1080,0,0.0
Philippines (the),2912,148844,2,0.0
Philippines (the),1045,11073,1,0.0
Philippines (the),366,3448,0,0.0
Philippines (the),625,4466,0,0.0
Philippines (the),1203,22837,1,0.0
Philippines (the),4683,200792,4,0.0
Philippines (the),377,3271,0,0.0
Philippines (the),14364,6497249,14,6.0
Philippines (the),18918,3354223,18,3.0
Philippines (the),413,3185,0,0.0
Philippines (the),1352,42879,1,0.0
Philippines (the),209,2698,0,0.0
Philippines (the),456,7554,0,0.0
Philippines (the),132,1086,0,0.0
Philippines (the),179,1929,0,0.0
Philippines (the),91,651,0,0.0
Philippines (the),257,3332,0,0.0
Philippines (the),6506,617290,6,0.0
Philippines (the),1354,20606,1,0.0
Philippines (the),622,3690,0,0.0
Philippines (the),4213,159102,4,0.0
Philippines (the),3743,865821,3,0.0
Philippines (the),129,1070,0,0.0
Philippines (the),1329,110365,1,0.0
Philippines (the),266,3601,0,0.0
Philippines (the),312,3707,0,0.0
Philippines (the),2499,370261,2,0.0
Philippines (the),373,2266,0,0.0
Philippines (the),53374,46469594,53,46.0
Philippines (the),2321,26933,2,0.0
Philippines (the),9632,2420208,9,2.0
Philippines (the),13275,2670666,13,2.0
Philippines (the),152,1097,0,0.0
Philippines (the),212,1540,0,0.0
Philippines (the),160,1011,0,0.0
Philippines (the),146,1218,0,0.0
Philippines (the),191,1174,0,0.0
Philippines (the),132,902,0,0.0
Philippines (the),1007,20258,1,0.0
Philippines (the),390,4122,0,0.0
Philippines (the),274,1920,0,0.0
Philippines (the),112,838,0,0.0
Philippines (the),377,5711,0,0.0
Philippines (the),587,6635,0,0.0
Philippines (the),221,1237,0,0.0
Philippines (the),119,594,0,0.0
Philippines (the),362,2661,0,0.0
Philippines (the),988,19360,0,0.0
Philippines (the),1116,20255,1,0.0
Philippines (the),2536,74836,2,0.0
Philippines (the),398,5424,0,0.0
Philippines (the),564,6439,0,0.0
Philippines (the),564,8976,0,0.0
Philippines (the),2409,354979,2,0.0
Philippines (the),538,4805,0,0.0
Philippines (the),556,11157,0,0.0
Philippines (the),592,7967,0,0.0
Philippines (the),310,6470,0,0.0
Philippines (the),917,28809,0,0.0
Philippines (the),483,16337,0,0.0
Philippines (the),15576,7071941,15,7.0
Philippines (the),460,13660,0,0.0
Philippines (the),871,27638,0,0.0
Philippines (the),2418,70897,2,0.0
Philippines (the),1254,29447,1,0.0
Philippines (the),47912,4811347,47,4.0
Philippines (the),411,6846,0,0.0
Philippines (the),3707,169675,3,0.0
Philippines (the),1081,46528,1,0.0
Philippines (the),726,24748,0,0.0
Philippines (the),21886,1400402,21,1.0
Philippines (the),9793,2023429,9,2.0
Philippines (the),253,3792,0,0.0
Philippines (the),1488,53943,1,0.0
Philippines (the),826,27388,0,0.0
Philippines (the),515,13514,0,0.0
Philippines (the),9500,339695,9,0.0
Philippines (the),1448,53311,1,0.0
Philippines (the),1422,31379,1,0.0
Philippines (the),438,5523,0,0.0
Philippines (the),1228,15909,1,0.0
Philippines (the),3003,75453,3,0.0
Philippines (the),1120,61134,1,0.0
Philippines (the),681,28581,0,0.0
Philippines (the),1614,50527,1,0.0
Philippines (the),704,10699,0,0.0
Philippines (the),2435,97726,2,0.0
Philippines (the),897,28221,0,0.0
Philippines (the),331,5969,0,0.0
Philippines (the),1153,21344,1,0.0
Philippines (the),3046,49595,3,0.0
Philippines (the),1612,45691,1,0.0
Philippines (the),11682,900126,11,0.0
Philippines (the),5895,207085,5,0.0
Philippines (the),292,2262,0,0.0
Philippines (the),38662,4174688,38,4.0
Philippines (the),37903,2062245,37,2.0
Philippines (the),7305,372390,7,0.0
Philippines (the),20700,14502294,20,14.0
Philippines (the),69720,8787507,69,8.0
Philippines (the),628,7975,0,0.0
Philippines (the),95,404,0,0.0
Philippines (the),283,1129,0,0.0
Philippines (the),86,311,0,0.0
Philippines (the),86,483,0,0.0
Philippines (the),62,265,0,0.0
Philippines (the),117,953,0,0.0
Philippines (the),1452,39854,1,0.0
Philippines (the),146,1219,0,0.0
Philippines (the),4624,740494,4,0.0
Philippines (the),83,526,0,0.0
Philippines (the),773,41002,0,0.0
Philippines (the),63,235,0,0.0
Philippines (the),50,179,0,0.0
Philippines (the),68,329,0,0.0
Philippines (the),110,692,0,0.0
Philippines (the),101,372,0,0.0
Philippines (the),310,3017,0,0.0
Philippines (the),51,191,0,0.0
Philippines (the),854,11676,0,0.0
Philippines (the),47,176,0,0.0
Philippines (the),180,2369,0,0.0
Philippines (the),78,411,0,0.0
Philippines (the),41,134,0,0.0
Philippines (the),88,489,0,0.0
Philippines (the),9800,1042229,9,1.0
Philippines (the),446,14784,0,0.0
Philippines (the),8729,1548893,8,1.0
Philippines (the),288,4331,0,0.0
Philippines (the),165,1952,0,0.0
Philippines (the),526,4500,0,0.0
Philippines (the),1459,76739,1,0.0
Philippines (the),572,7618,0,0.0
Philippines (the),21604,10423034,21,10.0
Philippines (the),990,7641,0,0.0
Philippines (the),3756,701923,3,0.0
Philippines (the),3927,146134,3,0.0
Philippines (the),22098,20449211,22,20.0
Philippines (the),56653,23748649,56,23.0
Philippines (the),3883,1038634,3,1.0
Philippines (the),33,71,0,0.0
Philippines (the),75,305,0,0.0
Philippines (the),55,201,0,0.0
Philippines (the),54,113,0,0.0
Philippines (the),65,263,0,0.0
Philippines (the),33,59,0,0.0
Philippines (the),45,88,0,0.0
Philippines (the),40,82,0,0.0
Philippines (the),46,74,0,0.0
Philippines (the),100,244,0,0.0
Philippines (the),119,1049,0,0.0
Philippines (the),1007,42744,1,0.0
Philippines (the),8842,4569617,8,4.0
Philippines (the),7564,2043970,7,2.0
Philippines (the),137,621,0,0.0
Philippines (the),5583,559943,5,0.0
Philippines (the),96,414,0,0.0
Philippines (the),130,594,0,0.0
Philippines (the),77,317,0,0.0
Philippines (the),84,277,0,0.0
Philippines (the),5802,1415000,5,1.0
Philippines (the),119,388,0,0.0
Philippines (the),10061,1351682,10,1.0
Philippines (the),426232,834872796,426,834.0
Philippines (the),5878,1436748,5,1.0
Philippines (the),83268,45870264,83,45.0
Philippines (the),2481,351887,2,0.0
Philippines (the),373,1614,0,0.0
Philippines (the),5079,1436017,5,1.0
Philippines (the),14403,515413,14,0.0
Philippines (the),128,652,0,0.0
Philippines (the),133,879,0,0.0
Philippines (the),2256,23279,2,0.0
Philippines (the),143,1036,0,0.0
Philippines (the),2561,73823,2,0.0
Philippines (the),15276,1306522,15,1.0
Philippines (the),1435,54545,1,0.0
